property_type,location,price,features,neighourhood,bedroom,bathroom,toilet,parking_lot
Premium 4 Bedrooms Apartment,Ikoyi,11000000,4 Bedrooms4 Bathrooms5 Toilets Save, Ikoyi,4,4,5,
Premium 4 Bedroom Apartment,Ikoyi,10000000,4 Bedrooms4 Bathrooms5 Toilets Save, Ikoyi,4,4,5,
Luxury 3 Bedroom Apartment,Victoria Island (VI),15000000,3 Bedrooms Save, Lagos,3, ,,
Luxury 3 Bedroom Apartment,Ikoyi,5000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Luxury 3 Bedroom Apartment,Victoria Island (VI),13000000,3 Bedrooms3 Bathrooms4 Toilets Save, Lagos,3,3,4,
Premium 4 Bedroom Apartment,Victoria Island (VI),16000000,4 Bedrooms4 Bathrooms5 Toilets Save, Lagos,4,4,5,
High End 4 Bedroom Luxury Apartment,Ikoyi,16000000,4 Bedrooms4 Bathrooms5 Toilets Save, Ikoyi,4,4,5,
Spacious 3 Bedrooms Apartment,Ikoyi,6500000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Upscale 3 Bedrooms Apartment,Ikoyi,10000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Premium 3 Bedroom Apartment,Ikoyi,10000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Spacious 2 Bedroom Apartment,Ikoyi,7000000,2 Bedrooms2 Bathrooms3 Toilets Save, Ikoyi,2,2,3,
Luxury 2 Bedroom Apartment,Ikoyi,12000000,2 Bedrooms2 Bathrooms3 Toilets Save, Ikoyi,2,2,3,
Spacious 4 Bedroom Apartment,Ikoyi,14000000,4 Bedrooms4 Bathrooms5 Toilets Save, Ikoyi,4,4,5,
Mini Flat,Lekki,800000,1 Bedroom2 Bathrooms2 Toilets2 Parking Spaces Save, Lekki,1,2,2,2
Luxurious 3 Bedroom Apartment,Ikoyi,10000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Luxury Mini Flat,Lekki,800000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Igbo Efon,1,1,2,1
Luxurious 3 Bedroom Apartment,Victoria Island (VI),8000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
Room Self Contained,Yaba,350000,1 Bathroom1 Toilet1 Parking Space Save, Yaba,1,1,1,1
